file_path,label_name,label_id,split
data\train\An ủi\126225.mp4,An ủi,0,train
data\train\An ủi\127824.mp4,An ủi,0,train
data\train\An ủi\131244.mp4,An ủi,0,val
data\train\An ủi\133326.mp4,An ủi,0,train
data\train\An ủi\191161.mp4,An ủi,0,val
data\train\An ủi\198246.mp4,An ủi,0,train
data\train\An ủi\207473.mp4,An ủi,0,val
data\train\An ủi\216739.mp4,An ủi,0,train
data\train\An ủi\246316.mp4,An ủi,0,train
data\train\An ủi\329258.mp4,An ủi,0,train
data\train\An ủi\334053.mp4,An ủi,0,train
data\train\An ủi\343962.mp4,An ủi,0,train
data\train\An ủi\356787.mp4,An ủi,0,train
data\train\An ủi\388389.mp4,An ủi,0,train
data\train\An ủi\542417.mp4,An ủi,0,train
data\train\An ủi\629903.mp4,An ủi,0,train
data\train\An ủi\671858.mp4,An ủi,0,train
data\train\An ủi\719176.mp4,An ủi,0,train
data\train\An ủi\731262.mp4,An ủi,0,val
data\train\An ủi\770487.mp4,An ủi,0,val
data\train\An ủi\809570.mp4,An ủi,0,train
data\train\An ủi\872246.mp4,An ủi,0,train
data\train\An ủi\876646.mp4,An ủi,0,train
data\train\An ủi\877572.mp4,An ủi,0,train
data\train\Ban ngày\112038.mp4,Ban ngày,4,val
data\train\Ban ngày\166613.mp4,Ban ngày,4,train
data\train\Ban ngày\220116.mp4,Ban ngày,4,train
data\train\Ban ngày\363626.mp4,Ban ngày,4,val
data\train\Ban ngày\500156.mp4,Ban ngày,4,train
data\train\Ban ngày\503457.mp4,Ban ngày,4,train
data\train\Ban ngày\542666.mp4,Ban ngày,4,train
data\train\Ban ngày\590785.mp4,Ban ngày,4,train
data\train\Ban ngày\654816.mp4,Ban ngày,4,train
data\train\Ban ngày\680099.mp4,Ban ngày,4,val
data\train\Ban ngày\724834.mp4,Ban ngày,4,train
data\train\Ban ngày\725380.mp4,Ban ngày,4,train
data\train\Ban ngày\813328.mp4,Ban ngày,4,train
data\train\Ban ngày\813536.mp4,Ban ngày,4,train
data\train\Ban ngày\855731.mp4,Ban ngày,4,train
data\train\Ban đêm\379786.mp4,Ban đêm,5,train
data\train\Ban đêm\663054.mp4,Ban đêm,5,val
data\train\Ban đêm\814825.mp4,Ban đêm,5,train
data\train\Ban đêm\887352.mp4,Ban đêm,5,train
data\train\Ban đêm\905934.mp4,Ban đêm,5,train
data\train\Biết\102260.mp4,Biết,12,train
data\train\Biết\115474.mp4,Biết,12,train
data\train\Biết\153045.mp4,Biết,12,train
data\train\Biết\161483.mp4,Biết,12,val
data\train\Biết\163556.mp4,Biết,12,val
data\train\Biết\179046.mp4,Biết,12,train
data\train\Biết\197793.mp4,Biết,12,train
data\train\Biết\202664.mp4,Biết,12,train
data\train\Biết\203198.mp4,Biết,12,train
data\train\Biết\214576.mp4,Biết,12,train
data\train\Biết\246991.mp4,Biết,12,train
data\train\Biết\272634.mp4,Biết,12,train
data\train\Biết\274389.mp4,Biết,12,train
data\train\Biết\292401.mp4,Biết,12,train
data\train\Biết\299448.mp4,Biết,12,train
data\train\Biết\300896.mp4,Biết,12,train
data\train\Biết\324130.mp4,Biết,12,val
data\train\Biết\347861.mp4,Biết,12,train
data\train\Biết\360735.mp4,Biết,12,val
data\train\Biết\361941.mp4,Biết,12,train
data\train\Biết\378085.mp4,Biết,12,train
data\train\Biết\392075.mp4,Biết,12,train
data\train\Biết\455784.mp4,Biết,12,train
data\train\Biết\497382.mp4,Biết,12,train
data\train\Biết\509386.mp4,Biết,12,train
data\train\Biết\520521.mp4,Biết,12,train
data\train\Biết\522179.mp4,Biết,12,train
data\train\Biết\526156.mp4,Biết,12,val
data\train\Biết\542374.mp4,Biết,12,train
data\train\Biết\564656.mp4,Biết,12,val
data\train\Biết\570405.mp4,Biết,12,train
data\train\Biết\585100.mp4,Biết,12,train
data\train\Biết\604740.mp4,Biết,12,val
data\train\Biết\609231.mp4,Biết,12,train
data\train\Biết\662336.mp4,Biết,12,val
data\train\Biết\666847.mp4,Biết,12,train
data\train\Biết\677057.mp4,Biết,12,train
data\train\Biết\783823.mp4,Biết,12,train
data\train\Biết\863587.mp4,Biết,12,train
data\train\Biết\890170.mp4,Biết,12,train
data\train\Biết\922157.mp4,Biết,12,train
data\train\Biết\939482.mp4,Biết,12,train
data\train\Biết\947272.mp4,Biết,12,train
data\train\Biết\976638.mp4,Biết,12,train
data\train\Biết\989921.mp4,Biết,12,val
data\train\Biết\997546.mp4,Biết,12,train
data\train\Biếu tặng\152578.mp4,Biếu tặng,13,train
data\train\Biếu tặng\159642.mp4,Biếu tặng,13,train
data\train\Biếu tặng\159942.mp4,Biếu tặng,13,train
data\train\Biếu tặng\161324.mp4,Biếu tặng,13,train
data\train\Biếu tặng\163918.mp4,Biếu tặng,13,train
data\train\Biếu tặng\171262.mp4,Biếu tặng,13,train
data\train\Biếu tặng\171849.mp4,Biếu tặng,13,train
data\train\Biếu tặng\184002.mp4,Biếu tặng,13,train
data\train\Biếu tặng\262316.mp4,Biếu tặng,13,train
data\train\Biếu tặng\265080.mp4,Biếu tặng,13,train
data\train\Biếu tặng\294851.mp4,Biếu tặng,13,train
data\train\Biếu tặng\299122.mp4,Biếu tặng,13,train
data\train\Biếu tặng\328275.mp4,Biếu tặng,13,val
data\train\Biếu tặng\399105.mp4,Biếu tặng,13,train
data\train\Biếu tặng\411120.mp4,Biếu tặng,13,train
data\train\Biếu tặng\428838.mp4,Biếu tặng,13,train
data\train\Biếu tặng\543555.mp4,Biếu tặng,13,train
data\train\Biếu tặng\577110.mp4,Biếu tặng,13,train
data\train\Biếu tặng\599948.mp4,Biếu tặng,13,train
data\train\Biếu tặng\610311.mp4,Biếu tặng,13,train
data\train\Biếu tặng\627276.mp4,Biếu tặng,13,train
data\train\Biếu tặng\632496.mp4,Biếu tặng,13,train
data\train\Biếu tặng\656926.mp4,Biếu tặng,13,train
data\train\Biếu tặng\668532.mp4,Biếu tặng,13,val
data\train\Biếu tặng\682765.mp4,Biếu tặng,13,val
data\train\Biếu tặng\707314.mp4,Biếu tặng,13,val
data\train\Biếu tặng\712554.mp4,Biếu tặng,13,train
data\train\Biếu tặng\723939.mp4,Biếu tặng,13,val
data\train\Biếu tặng\794022.mp4,Biếu tặng,13,val
data\train\Biếu tặng\830429.mp4,Biếu tặng,13,train
data\train\Biếu tặng\853305.mp4,Biếu tặng,13,train
data\train\Biếu tặng\865990.mp4,Biếu tặng,13,train
